x1,x2,y
0.07147247352,-1.32882243,0
-0.4606756516,-0.2179742158,0
-1.474365434,-1.406289067,0
-1.650938916,0.934004799,0
-1.043427102,-0.3191301842,0
-1.383876377,-0.1512056943,0
-0.2415640665,0.2887373135,0
-3.085773009,0.9566761853,0
0.01469567612,0.3276665165,0
-0.7291133444,0.141407355,0
-2.144263155,0.0801038869,0
-0.6169568406,-0.09988058658,0
1.287562533,-0.5424621952,0
0.9299733293,-0.8174934632,0
-2.390148074,0.4614707274,0
-0.006534105755,1.194442411,0
-0.00167879869,-0.2335193804,0
0.03745280028,0.569344361,0
-1.506241949,2.279214374,0
-2.127104686,-2.081375612,0
-3.856590178,0.8172214241,0
-1.205272483,0.2945175066,0
-0.02431456194,1.112654058,0
-1.640037021,0.2175322388,0
-1.441107778,-1.792300127,0
-1.930656016,0.4577295386,0
1.586625654,1.532485235,0
-1.857346915,-0.632447236,0
-2.023788341,0.7836393481,0
-1.679405853,0.8673656689,0
-1.458963196,-2.542458626,0
-2.126257659,1.963057741,0
-1.841822143,1.742624273,0
0.5512489432,0.3946328527,0
-2.983063001,0.6894133744,0
-1.344049754,-1.185373289,0
-1.291326547,-0.5316776376,0
0.3005157279,-0.2649292091,0
-2.052156588,1.179276766,0
-1.807223293,0.07084637998,0
-2.154962768,-0.2608750685,0
-2.155427345,0.9699521099,0
-1.138365275,-1.118087527,0
0.6760260954,-0.7454021056,0
-1.623771024,-0.4627431037,0
-1.615167749,0.3007928583,0
-0.3767176037,-1.256132864,0
-0.5155609202,1.29524724,0
-0.2802480992,-0.3785985673,0
-1.433097016,-0.5704416783,0
-0.1953896809,0.2628963406,0
-1.465151463,-0.4227483603,0
-1.086591114,-0.8366048409,0
0.500485117,0.07186579645,0
-2.08752613,-0.763923791,0
-1.570252622,-0.3268031966,0
-1.290883437,-2.657330109,0
-2.103459429,-0.5938759799,0
-0.4227946515,0.07098545625,0
0.01226441993,-0.5808491658,0
-1.199151887,-1.61199538,0
-1.09486137,-1.225379647,0
-1.989717891,0.1164449455,0
-1.377688607,0.5566217198,0
-1.674712329,-1.447999034,0
-2.092129339,0.8123305543,0
-0.8861813872,-0.2915807188,0
-1.380222698,-1.848605455,0
-2.281582096,-0.02179348103,0
-1.367861937,-0.7984530712,0
0.5338888058,0.6853695756,0
-2.209497446,0.3523247285,0
-0.995646978,-0.3548476163,0
-1.311578511,-0.144847295,0
0.5344525212,0.3061950808,0
-0.5828110791,-0.533014825,0
-1.768807684,-0.09356375848,0
-1.608999608,0.7909130668,0
-0.9730357033,-1.141419014,0
-1.293033074,0.4676168314,0
-1.165965543,-0.1464877517,0
